"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5994","Shouldn Fail Test!","","2026-02-17","failed","2026-02-17","","Login UI","LoginTests","FailTest"
"","7186","Shouldn´t do login with invalid Email","","2026-02-17","passed","2026-02-17","","Login UI","LoginTests","ShouldntDoLoginWithInvalidEmail"
"","7901","Shouldn´t Register User With Different Password","","2026-02-17","passed","2026-02-17","","Register UI","RegisterTests","ShouldntRegisterUserWithDifferentPassword"
"","8666","Should do login successfull","","2026-02-17","passed","2026-02-17","","Login UI","LoginTests","ShouldDoLoginSuccessfull"
"","9127","Should Register user successfull","","2026-02-17","passed","2026-02-17","","Register UI","RegisterTests","ShouldRegisterUserSuccessfull"
"","7428","Shouldn´t do login with invalid Password","","2026-02-17","passed","2026-02-17","","Login UI","LoginTests","ShouldntDoLoginWithInvalidPassword"
"","18179","Should realize shopping successful","","2026-02-17","passed","2026-02-17","","Shopping Cart UI","ShoppingCartTests","ShouldDoBuySuccessfull"
"","7931","Shouldn´t register user with name and last name empty","","2026-02-17","passed","2026-02-17","","Register UI","RegisterTests","ShouldntRegisterUserWithoutNameAndLastName"
"","7924","Shouldn´t do login with empty fields","","2026-02-17","passed","2026-02-17","","Login UI","LoginTests","ShouldntDoLoginWithEmptyFields"
